source_id,ordinal,S0_comp_valid,S1_comp_valid,S0_struct_valid,S1_struct_valid,S0_strict_stable,S1_strict_stable,S0_meta_stable,S1_meta_stable,S0_strict_sun,S1_strict_sun,S0_meta_sun,S1_meta_sun,S0_e_above_hull_eV_atom,S1_e_above_hull_eV_atom
H1A2_1200:0823,813,True,True,True,True,False,False,False,False,False,False,False,False,0.13731848876481934,0.12066256682878418
H1A2_1200:0824,814,True,True,True,True,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
H1A2_1200:0825,815,False,False,True,True,False,False,False,False,False,False,False,False,0.19420978839924397,0.12619564350178303
H1A2_1200:0827,816,True,True,True,True,False,False,False,True,False,False,False,True,0.1126392171142534,0.0939939305541948
H1A2_1200:0828,817,True,True,True,True,False,False,True,False,False,False,True,False,0.05574968791577284,0.14109590983960096
H1A2_1200:0829,818,True,True,True,True,False,False,False,False,False,False,False,False,0.10737863128059821,0.18407311980598884
H1A2_1200:0830,819,True,True,True,True,False,False,True,True,False,False,True,True,0.08075891446021188,0.07328735302832712
H1A2_1200:0831,820,False,False,True,True,True,True,True,True,True,True,True,True,-0.039838887540893264,-0.04126653799255342
H1A2_1200:0832,821,False,True,False,True,False,False,False,False,False,False,False,False,unknown,0.10322582722489493
H1A2_1200:0833,822,True,True,True,True,False,False,True,True,False,False,True,True,0.0856020752526856,0.08665350118652348
H1A2_1200:0834,823,True,True,True,True,False,False,False,False,False,False,False,False,0.19221403179117935,0.21284105358073013
H1A2_1200:0835,824,True,True,True,True,False,False,True,True,False,False,True,True,0.007403628455647571,0.007459895240315539
H1A2_1200:0836,825,False,False,True,True,False,False,False,False,False,False,False,False,0.14448843910574816,0.14480696632742784
H1A2_1200:0837,826,True,True,True,True,False,False,False,False,False,False,False,False,0.10117480440917959,0.1073870389062499
H1A2_1200:0838,827,False,False,True,True,False,False,True,True,False,False,True,True,0.08148673999816847,0.08193687427551222
H1A2_1200:0839,828,True,True,True,True,True,True,True,True,True,True,True,True,-0.005585661673583431,-0.005550852561034603
H1A2_1200:0840,829,True,True,True,True,True,True,True,True,True,False,True,False,-0.06281005319946331,-0.05235015329711956
H1A2_1200:0841,830,False,False,True,True,False,False,False,False,False,False,False,False,0.11371587470797273,0.1730525370004532
H1A2_1200:0842,831,True,True,True,True,False,False,True,True,False,False,False,True,0.059169183490396904,0.05778349470865862
H1A2_1200:0843,832,True,True,True,True,False,False,True,True,False,False,True,True,0.0229731340154804,0.06585891434995306
H1A2_1200:0844,833,True,True,True,True,False,False,False,False,False,False,False,False,0.20982816245564706,0.1215307953596998
H1A2_1200:0845,834,True,True,True,True,False,False,False,False,False,False,False,False,0.12926896006437438,0.12991936594816345
H1A2_1200:0846,835,False,False,True,True,True,True,True,True,True,True,True,True,-0.043683794270751974,-0.0428025992023926
H1A2_1200:0847,836,True,True,True,True,False,False,False,False,False,False,False,False,0.19383040401415919,0.19322863552050684
H1A2_1200:0848,837,True,True,True,True,False,False,False,False,False,False,False,False,0.10013588981944732,0.10128840523082427
H1A2_1200:0849,838,True,True,True,True,False,False,True,True,False,False,True,True,0.026806924298502732,0.05596456284830742
H1A2_1200:0850,839,False,False,True,True,False,False,False,False,False,False,False,False,0.16264326434908227,0.19173605304537134
H1A2_1200:0851,840,True,True,True,True,False,False,True,True,False,False,True,True,0.0370622541788741,0.03724822067057332
H1A2_1200:0852,841,True,True,True,True,False,False,False,False,False,False,False,False,0.26158840746402134,0.3624113330316483
H1A2_1200:0853,842,True,True,True,True,False,False,True,True,False,False,True,True,0.07459487319213842,0.09629334807617163
H1A2_1200:0854,843,True,True,True,True,False,False,True,True,False,False,True,True,0.04119042924592442,0.04115991166779942
H1A2_1200:0855,844,False,False,True,True,False,False,True,True,False,False,True,True,0.047571806687500384,0.04843488194384804
H1A2_1200:0856,845,True,True,True,True,False,False,True,True,False,False,True,True,0.07599547357503589,0.08673718423787768
H1A2_1200:0857,846,True,True,True,True,False,False,False,False,False,False,False,False,0.1363081760034186,0.16210029789062563
H1A2_1200:0858,847,True,True,True,True,False,False,False,True,False,False,False,True,0.1375527490937749,0.07130623954177295
H1A2_1200:0859,848,True,True,True,True,True,True,True,True,True,True,True,True,-0.016459142208624655,-0.01649967336707192
H1A2_1200:0860,849,True,True,True,True,False,False,True,False,False,False,True,False,0.0612175982892289,0.11007337984440468
H1A2_1200:0861,850,True,True,True,True,True,True,True,True,True,True,True,True,-0.01611467983805337,-0.023076502347818995
H1A2_1200:0862,851,True,True,True,True,False,False,True,True,False,False,True,True,0.024624623509929222,0.06362751886515383
H1A2_1200:0863,852,False,False,True,True,False,True,False,True,False,True,False,True,unknown,-0.0009418980993656234
H1A2_1200:0864,853,True,True,True,True,False,False,True,True,False,False,True,True,0.05202991808642565,0.047089408290283075
H1A2_1200:0865,854,False,False,True,True,False,False,True,True,False,False,True,True,0.0182768196459957,0.023943075596923435
H1A2_1200:0866,855,False,False,True,True,False,True,False,True,False,True,False,True,3.629545042110891,-0.018560102389841404
H1A2_1200:0867,856,True,True,True,True,False,False,False,False,False,False,False,False,0.15378082814867966,0.16542566838915818
H1A2_1200:0868,857,False,False,True,True,False,False,False,False,False,False,False,False,0.10911723702880849,0.12998649209472646
